x,y
0,1
0.1,1
0.2,1
0.3,0.99
0.4,0.99
0.5,0.963
0.6,0.9801
0.7,0.9072
0.8,0.99954
0.9,0.773469
1,1.14745
1.1,0.379153
1.2,1.77547
1.3,-0.93842
1.4,4.14542
1.5,-5.56979
1.6,12.7973
1.7,-22.1271
1.8,44.0772
1.9,-81.6267
2,156.846
2.1,-295.764
2.2,563.065
2.3,-1066.77
2.4,2026.03
2.5,-3843.12
2.6,7294.46
2.7,-13840.9
2.8,26266.8
2.9,-49844
3,94588.3
3.1,-179495
3.2,340622
3.3,-646383
3.4,1.22661e+06
3.5,-2.3277e+06
3.6,4.41717e+06
3.7,-8.38229e+06
3.8,1.59067e+07
3.9,-3.01856e+07
4,5.72819e+07
4.1,-1.08702e+08
4.2,2.06278e+08
4.3,-3.91446e+08
4.4,7.42831e+08
4.5,-1.40964e+09
4.6,2.67502e+09
4.7,-5.07627e+09
4.8,9.63303e+09
4.9,-1.82802e+10
5,3.46896e+10
5.1,-6.58291e+10
5.2,1.24921e+11
5.3,-2.37058e+11
5.4,4.49855e+11
5.5,-8.53671e+11
5.6,1.61998e+12
5.7,-3.07416e+12
5.8,5.83371e+12
5.9,-1.10704e+13
6,2.10078e+13
6.1,-3.98657e+13
6.2,7.56516e+13
6.3,-1.43561e+14
6.4,2.7243e+14
6.5,-5.16979e+14
6.6,9.81049e+14
6.7,-1.8617e+15
6.8,3.53287e+15
6.9,-6.70417e+15
7,1.27222e+16
7.1,-2.41425e+16
7.2,4.58142e+16
7.3,-8.69397e+16
7.4,1.64982e+17
7.5,-3.13079e+17
7.6,5.94118e+17
7.7,-1.12743e+18
7.8,2.13948e+18
7.9,-4.06001e+18
8,7.70452e+18
8.1,-1.46206e+19
8.2,2.77448e+19
8.3,-5.26502e+19
8.4,9.99122e+19
8.5,-1.89599e+20
8.6,3.59795e+20
8.7,-6.82768e+20
8.8,1.29566e+21
8.9,-2.45872e+21
9,4.66582e+21
9.1,-8.85413e+21
9.2,1.68021e+22
9.3,-3.18847e+22
9.4,6.05063e+22
9.5,-1.1482e+23
9.6,2.1789e+23
9.7,-4.13481e+23
9.8,7.84645e+23
9.9,-1.48899e+24
10,2.82559e+24
10.1,-5.36201e+24
10.2,1.01753e+25
10.3,-1.93092e+25
10.4,3.66423e+25
10.5,-6.95346e+25
10.6,1.31953e+26
10.7,-2.50402e+26
10.8,4.75177e+26
10.9,-9.01724e+26
11,1.71116e+27
11.1,-3.24721e+27
11.2,6.16209e+27
11.3,-1.16936e+28
11.4,2.21904e+28
11.5,-4.21098e+28
11.6,7.991e+28
11.7,-1.51642e+29
11.8,2.87765e+29
11.9,-5.46079e+29
12,1.03627e+30
12.1,-1.96649e+30
12.2,3.73173e+30
12.3,-7.08155e+30
12.4,1.34384e+31
12.5,-2.55014e+31
12.6,4.83931e+31
12.7,-9.18335e+31
12.8,1.74269e+32
12.9,-3.30703e+32
13,6.27561e+32
13.1,-1.1909e+33
13.2,2.25992e+33
13.3,-4.28855e+33
13.4,8.13821e+33
13.5,-1.54435e+34
13.6,2.93066e+34
13.7,-5.56139e+34
13.8,1.05536e+35
13.9,-2.00272e+35
14,3.80048e+35
14.1,-7.21201e+35
14.2,1.36859e+36
14.3,-2.59712e+36
14.4,4.92845e+36
14.5,-9.35253e+36
14.6,1.77479e+37
14.7,-3.36795e+37
14.8,6.39122e+37
14.9,-1.21284e+38
15,2.30155e+38
15.1,-4.36755e+38
15.2,8.28813e+38
15.3,-1.5728e+39
15.4,2.98465e+39
15.5,-5.66384e+39
15.6,1.0748e+40
15.7,-2.03961e+40
15.8,3.87049e+40
15.9,-7.34487e+40
16,1.39381e+41
16.1,-2.64497e+41
16.2,5.01925e+41
16.3,-9.52482e+41
16.4,1.80749e+42
16.5,-3.42999e+42
16.6,6.50896e+42
16.7,-1.23518e+43
16.8,2.34395e+43
16.9,-4.44801e+43
17,8.44081e+43
17.1,-1.60178e+44
17.2,3.03963e+44
17.3,-5.76818e+44
17.4,1.0946e+45
17.5,-2.07718e+45
17.6,3.94179e+45
17.7,-7.48017e+45
17.8,1.41948e+46
17.9,-2.69369e+46
18,5.11171e+46
18.1,-9.70028e+46
18.2,1.84078e+47
18.3,-3.49318e+47
18.4,6.62886e+47
18.5,-1.25793e+48
18.6,2.38713e+48
18.7,-4.52995e+48
18.8,8.59631e+48
18.9,-1.63129e+49
19,3.09562e+49
19.1,-5.87444e+49
19.2,1.11477e+50
19.3,-2.11545e+50
19.4,4.0144e+50
19.5,-7.61797e+50
19.6,1.44563e+51
19.7,-2.74331e+51
19.8,5.20588e+51
19.9,-9.87898e+51
20,1.87469e+52
20.1,-3.55753e+52
20.2,6.75098e+52
20.3,-1.28111e+53
20.4,2.4311e+53
20.5,-4.6134e+53
20.6,8.75466e+53
20.7,-1.66134e+54
20.8,3.15265e+54
20.9,-5.98266e+54
21,1.1353e+55
21.1,-2.15442e+55
21.2,4.08836e+55
21.3,-7.75831e+55
21.4,1.47226e+56
21.5,-2.79385e+56
21.6,5.30178e+56
21.7,-1.0061e+57
21.8,1.90923e+57
21.9,-3.62307e+57
22,6.87534e+57
22.1,-1.30471e+58
22.2,2.47589e+58
22.3,-4.69839e+58
22.4,8.91594e+58
22.5,-1.69194e+59
22.6,3.21073e+59
22.7,-6.09287e+59
22.8,1.15622e+60
22.9,-2.19411e+60
23,4.16367e+60
23.1,-7.90123e+60
23.2,1.49938e+61
23.3,-2.84532e+61
23.4,5.39945e+61
23.5,-1.02463e+62
23.6,1.9444e+62
23.7,-3.68981e+62
23.8,7.002e+62
23.9,-1.32874e+63
24,2.5215e+63
24.1,-4.78494e+63
24.2,9.08019e+63
24.3,-1.72311e+64
24.4,3.26988e+64
24.5,-6.20511e+64
24.6,1.17752e+65
24.7,-2.23453e+65
24.8,4.24037e+65
24.9,-8.04678e+65
25,1.52701e+66
25.1,-2.89774e+66
25.2,5.49891e+66
25.3,-1.04351e+67
25.4,1.98022e+67
25.5,-3.75778e+67
25.6,7.13099e+67
25.7,-1.35322e+68
25.8,2.56795e+68
25.9,-4.87309e+68
26,9.24746e+68
26.1,-1.75485e+69
26.2,3.33011e+69
26.3,-6.31942e+69
26.4,1.19921e+70
26.5,-2.27569e+70
26.6,4.31849e+70
26.7,-8.19502e+70
26.8,1.55514e+71
26.9,-2.95112e+71
27,5.60021e+71
27.1,-1.06273e+72
27.2,2.0167e+72
27.3,-3.82701e+72
27.4,7.26236e+72
27.5,-1.37815e+73
27.6,2.61525e+73
27.7,-4.96286e+73
27.8,9.41782e+73
27.9,-1.78718e+74
28,3.39146e+74
28.1,-6.43584e+74
28.2,1.2213e+75
28.3,-2.31762e+75
28.4,4.39804e+75
28.5,-8.34599e+75
28.6,1.58378e+76
28.7,-3.00548e+76
28.8,5.70338e+76
28.9,-1.08231e+77
29,2.05385e+77
29.1,-3.89751e+77
29.2,7.39614e+77
29.3,-1.40354e+78
29.4,2.66343e+78
29.5,-5.05429e+78
29.6,9.59131e+78
29.7,-1.8201e+79
29.8,3.45394e+79
29.9,-6.5544e+79
30,1.2438e+80
30.1,-2.36031e+80
30.2,4.47906e+80
30.3,-8.49974e+80
30.4,1.61296e+81
30.5,-3.06085e+81
30.6,5.80845e+81
30.7,-1.10225e+82
30.8,2.09169e+82
30.9,-3.96931e+82
31,7.53239e+82
31.1,-1.42939e+83
31.2,2.7125e+83
31.3,-5.1474e+83
31.4,9.768e+83
31.5,-1.85363e+84
31.6,3.51757e+84
31.7,-6.67514e+84
31.8,1.26671e+85
31.9,-2.40379e+85
32,4.56158e+85
32.1,-8.65632e+85
32.2,1.64267e+86
32.3,-3.11724e+86
32.4,5.91545e+86
32.5,-1.12255e+87
32.6,2.13022e+87
32.7,-4.04243e+87
32.8,7.67115e+87
32.9,-1.45572e+88
33,2.76247e+88
33.1,-5.24222e+88
33.2,9.94795e+88
33.3,-1.88778e+89
33.4,3.58237e+89
33.5,-6.79811e+89
33.6,1.29005e+90
33.7,-2.44807e+90
33.8,4.64561e+90
33.9,-8.81578e+90
34,1.67294e+91
34.1,-3.17466e+91
34.2,6.02442e+91
34.3,-1.14323e+92
34.4,2.16946e+92
34.5,-4.1169e+92
34.6,7.81247e+92
34.7,-1.48254e+93
34.8,2.81336e+93
34.9,-5.33879e+93
35,1.01312e+94
35.1,-1.92256e+94
35.2,3.64836e+94
35.3,-6.92334e+94
35.4,1.31381e+95
35.5,-2.49317e+95
35.6,4.73119e+95
35.7,-8.97819e+95
35.8,1.70375e+96
35.9,-3.23314e+96
36,6.1354e+96
36.1,-1.16429e+97
36.2,2.20943e+97
36.3,-4.19274e+97
36.4,7.95639e+97
36.5,-1.50985e+98
36.6,2.86518e+98
36.7,-5.43714e+98
36.8,1.03178e+99
36.9,-1.95797e+99
37,3.71557e+99
37.1,-7.05088e+99
37.2,1.33802e+100
37.3,-2.5391e+100
37.4,4.81835e+100
37.5,-9.14358e+100
37.6,1.73514e+101
37.7,-3.2927e+101
37.8,6.24843e+101
37.9,-1.18574e+102
38,2.25013e+102
38.1,-4.26998e+102
38.2,8.10296e+102
38.3,-1.53767e+103
38.4,2.91797e+103
38.5,-5.5373e+103
38.6,1.05079e+104
38.7,-1.99404e+104
38.8,3.78402e+104
38.9,-7.18077e+104
39,1.36267e+105
39.1,-2.58588e+105
39.2,4.90711e+105
39.3,-9.31202e+105
39.4,1.7671e+106
39.5,-3.35336e+106
39.6,6.36354e+106
39.7,-1.20758e+107
39.8,2.29158e+107
39.9,-4.34864e+107
40,8.25223e+107
40.1,-1.56599e+108
40.2,2.97172e+108
40.3,-5.63931e+108
40.4,1.07015e+109
40.5,-2.03078e+109
40.6,3.85372e+109
40.7,-7.31306e+109
40.8,1.38777e+110
40.9,-2.63351e+110
41,4.99751e+110
41.1,-9.48357e+110
41.2,1.79966e+111
41.3,-3.41514e+111
41.4,6.48077e+111
41.5,-1.22983e+112
41.6,2.3338e+112
41.7,-4.42875e+112
41.8,8.40425e+112
41.9,-1.59484e+113
42,3.02646e+113
42.1,-5.7432e+113
42.2,1.08986e+114
42.3,-2.06819e+114
42.4,3.92472e+114
42.5,-7.44778e+114
42.6,1.41333e+115
42.7,-2.68203e+115
42.8,5.08957e+115
42.9,-9.65827e+115
43,1.83281e+116
43.1,-3.47805e+116
43.2,6.60015e+116
43.3,-1.25248e+117
43.4,2.37679e+117
43.5,-4.51033e+117
43.6,8.55908e+117
43.7,-1.62422e+118
43.8,3.08222e+118
43.9,-5.849e+118
44,1.10994e+119
44.1,-2.10629e+119
44.2,3.99702e+119
44.3,-7.58498e+119
44.4,1.43937e+120
44.5,-2.73143e+120
44.6,5.18333e+120
44.7,-9.83619e+120
44.8,1.86657e+121
44.9,-3.54212e+121
45,6.72174e+121
45.1,-1.27556e+122
45.2,2.42057e+122
45.3,-4.59342e+122
45.4,8.71675e+122
45.5,-1.65414e+123
45.6,3.139e+123
45.7,-5.95675e+123
45.8,1.13039e+124
45.9,-2.14509e+124
46,4.07065e+124
46.1,-7.72471e+124
46.2,1.46589e+125
46.3,-2.78175e+125
46.4,5.27882e+125
46.5,-1.00174e+126
46.6,1.90096e+126
46.7,-3.60737e+126
46.8,6.84557e+126
46.9,-1.29906e+127
47,2.46516e+127
47.1,-4.67804e+127
47.2,8.87733e+127
47.3,-1.68461e+128
47.4,3.19682e+128
47.5,-6.06648e+128
47.6,1.15121e+129
47.7,-2.18461e+129
47.8,4.14564e+129
47.9,-7.86701e+129
48,1.49289e+130
48.1,-2.833e+130
48.2,5.37606e+130
48.3,-1.02019e+131
48.4,1.93598e+131
48.5,-3.67383e+131
48.6,6.97167e+131
48.7,-1.32299e+132
48.8,2.51058e+132
48.9,-4.76422e+132
49,9.04086e+132
49.1,-1.71565e+133
49.2,3.25571e+133
49.3,-6.17824e+133
49.4,1.17242e+134
49.5,-2.22485e+134
49.6,4.22201e+134
49.7,-8.01193e+134
49.8,1.52039e+135
49.9,-2.88519e+135
50,5.4751e+135
50.1,-1.03899e+136
50.2,1.97164e+136
50.3,-3.74151e+136
50.4,7.10011e+136
50.5,-1.34736e+137
50.6,2.55683e+137
50.7,-4.85199e+137
50.8,9.20741e+137
50.9,-1.74725e+138
51,3.31569e+138
51.1,-6.29205e+138
51.2,1.19402e+139
51.3,-2.26584e+139
51.4,4.29979e+139
51.5,-8.15953e+139
51.6,1.5484e+140
51.7,-2.93834e+140
51.8,5.57596e+140
51.9,-1.05813e+141
52,2.00796e+141
52.1,-3.81043e+141
52.2,7.2309e+141
52.3,-1.37218e+142
52.4,2.60393e+142
52.5,-4.94137e+142
52.6,9.37703e+142
52.7,-1.77944e+143
52.8,3.37677e+143
52.9,-6.40796e+143
53,1.21601e+144
53.1,-2.30758e+144
53.2,4.379e+144
53.3,-8.30984e+144
53.4,1.57692e+145
53.5,-2.99247e+145
53.6,5.67868e+145
53.7,-1.07762e+146
53.8,2.04496e+146
53.9,-3.88063e+146
54,7.36411e+146
54.1,-1.39746e+147
54.2,2.6519e+147
54.3,-5.0324e+147
54.4,9.54977e+147
54.5,-1.81222e+148
54.6,3.43898e+148
54.7,-6.52601e+148
54.8,1.23841e+149
54.9,-2.35009e+149
55,4.45967e+149
55.1,-8.46293e+149
55.2,1.60597e+150
55.3,-3.04759e+150
55.4,5.78329e+150
55.5,-1.09747e+151
55.6,2.08263e+151
55.7,-3.95212e+151
55.8,7.49977e+151
55.9,-1.4232e+152
56,2.70075e+152
56.1,-5.1251e+152
56.2,9.7257e+152
56.3,-1.84561e+153
56.4,3.50233e+153
56.5,-6.64623e+153
56.6,1.26123e+154
56.7,-2.39338e+154
56.8,4.54182e+154
56.9,-8.61883e+154
57,1.63556e+155
57.1,-3.10373e+155
57.2,5.88983e+155
57.3,-1.11769e+156
57.4,2.12099e+156
57.5,-4.02492e+156
57.6,7.63793e+156
57.7,-1.44942e+157
57.8,2.7505e+157
57.9,-5.21952e+157
58,9.90486e+157
58.1,-1.87961e+158
58.2,3.56685e+158
58.3,-6.76867e+158
58.4,1.28446e+159
58.5,-2.43747e+159
58.6,4.62549e+159
58.7,-8.7776e+159
58.8,1.66569e+160
58.9,-3.16091e+160
59,5.99833e+160
59.1,-1.13828e+161
59.2,2.16007e+161
59.3,-4.09907e+161
59.4,7.77863e+161
59.5,-1.47612e+162
59.6,2.80117e+162
59.7,-5.31567e+162
59.8,1.00873e+163
59.9,-1.91423e+163
60,3.63256e+163
60.1,-6.89336e+163
60.2,1.30812e+164
60.3,-2.48237e+164
60.4,4.7107e+164
60.5,-8.9393e+164
60.6,1.69637e+165
60.7,-3.21914e+165
60.8,6.10883e+165
60.9,-1.15925e+166
61,2.19986e+166
61.1,-4.17458e+166
