x,y
0,1
0.1,1
0.2,0.9996
0.3,0.998802
0.4,0.997607
0.5,0.996017
0.6,0.994034
0.7,0.991661
0.8,0.9889
0.9,0.985754
1,0.982224
1.1,0.978314
1.2,0.974027
1.3,0.969366
1.4,0.964333
1.5,0.958934
1.6,0.95317
1.7,0.947045
1.8,0.940564
1.9,0.93373
2,0.926547
2.1,0.919019
2.2,0.91115
2.3,0.902946
2.4,0.89441
2.5,0.885547
2.6,0.876361
2.7,0.866858
2.8,0.857043
2.9,0.84692
3,0.836495
3.1,0.825772
3.2,0.814758
3.3,0.803458
3.4,0.791877
3.5,0.780021
3.6,0.767896
3.7,0.755507
3.8,0.74286
3.9,0.729962
4,0.716818
4.1,0.703435
4.2,0.689819
4.3,0.675976
4.4,0.661912
4.5,0.647634
4.6,0.633149
4.7,0.618462
4.8,0.603581
4.9,0.588512
5,0.573262
5.1,0.557837
5.2,0.542245
5.3,0.526492
5.4,0.510585
5.5,0.494532
5.6,0.478338
5.7,0.462011
5.8,0.445558
5.9,0.428986
6,0.412302
6.1,0.395514
6.2,0.378627
6.3,0.36165
6.4,0.34459
6.5,0.327453
6.6,0.310246
6.7,0.292978
6.8,0.275654
6.9,0.258283
7,0.240871
7.1,0.223425
7.2,0.205952
7.3,0.18846
7.4,0.170956
7.5,0.153446
7.6,0.135938
7.7,0.118439
7.8,0.100955
7.9,0.0834941
8,0.0660624
8.1,0.048667
8.2,0.0313148
8.3,0.0140125
8.4,-0.00323316
8.5,-0.0204154
8.6,-0.0375276
8.7,-0.0545632
8.8,-0.0715157
8.9,-0.0883785
9,-0.105145
9.1,-0.12181
9.2,-0.138365
9.3,-0.154806
9.4,-0.171125
9.5,-0.187318
9.6,-0.203377
9.7,-0.219297
9.8,-0.235072
9.9,-0.250696
10,-0.266164
10.1,-0.281469
10.2,-0.296607
10.3,-0.311571
10.4,-0.326358
10.5,-0.34096
10.6,-0.355373
10.7,-0.369593
10.8,-0.383613
10.9,-0.397429
11,-0.411037
11.1,-0.424432
11.2,-0.437608
11.3,-0.450562
11.4,-0.463289
11.5,-0.475785
11.6,-0.488045
11.7,-0.500066
11.8,-0.511844
11.9,-0.523375
12,-0.534655
12.1,-0.54568
12.2,-0.556448
12.3,-0.566954
12.4,-0.577195
12.5,-0.587169
12.6,-0.596872
12.7,-0.606301
12.8,-0.615454
12.9,-0.624328
13,-0.63292
13.1,-0.641228
13.2,-0.649249
13.3,-0.656982
13.4,-0.664425
13.5,-0.671575
13.6,-0.67843
13.7,-0.684989
13.8,-0.691251
13.9,-0.697214
14,-0.702876
14.1,-0.708237
14.2,-0.713295
14.3,-0.71805
14.4,-0.7225
14.5,-0.726645
14.6,-0.730485
14.7,-0.734019
14.8,-0.737246
14.9,-0.740167
15,-0.742782
15.1,-0.745089
15.2,-0.747091
15.3,-0.748786
15.4,-0.750176
15.5,-0.751261
15.6,-0.752041
15.7,-0.752518
15.8,-0.752691
15.9,-0.752564
16,-0.752135
16.1,-0.751408
16.2,-0.750382
16.3,-0.74906
16.4,-0.747443
16.5,-0.745533
16.6,-0.743332
16.7,-0.740841
16.8,-0.738063
16.9,-0.734999
17,-0.731653
17.1,-0.728026
17.2,-0.724121
17.3,-0.71994
17.4,-0.715487
17.5,-0.710763
17.6,-0.705772
17.7,-0.700516
17.8,-0.694999
17.9,-0.689225
18,-0.683195
18.1,-0.676913
18.2,-0.670384
18.3,-0.66361
18.4,-0.656595
18.5,-0.649342
18.6,-0.641856
18.7,-0.63414
18.8,-0.626198
18.9,-0.618034
19,-0.609652
19.1,-0.601057
19.2,-0.592252
19.3,-0.583242
19.4,-0.574032
19.5,-0.564624
19.6,-0.555025
19.7,-0.545238
19.8,-0.535269
19.9,-0.525121
20,-0.5148
20.1,-0.50431
20.2,-0.493655
20.3,-0.482842
20.4,-0.471875
20.5,-0.460758
20.6,-0.449497
20.7,-0.438097
20.8,-0.426563
20.9,-0.414899
21,-0.403112
21.1,-0.391206
21.2,-0.379186
21.3,-0.367058
21.4,-0.354826
21.5,-0.342497
21.6,-0.330075
21.7,-0.317566
21.8,-0.304974
21.9,-0.292306
22,-0.279567
22.1,-0.266762
22.2,-0.253896
22.3,-0.240975
22.4,-0.228004
22.5,-0.214989
22.6,-0.201934
22.7,-0.188846
22.8,-0.175729
22.9,-0.162589
23,-0.149432
23.1,-0.136262
23.2,-0.123085
23.3,-0.109906
23.4,-0.0967305
23.5,-0.0835639
23.6,-0.0704112
23.7,-0.0572777
23.8,-0.0441686
23.9,-0.031089
24,-0.0180441
24.1,-0.00503892
24.2,0.00792147
24.3,0.020832
24.4,0.0336878
24.5,0.0464838
24.6,0.0592151
24.7,0.0718769
24.8,0.0844644
24.9,0.0969728
25,0.109397
25.1,0.121733
25.2,0.133976
25.3,0.146122
25.4,0.158165
25.5,0.170101
25.6,0.181927
25.7,0.193637
25.8,0.205228
25.9,0.216694
26,0.228033
26.1,0.23924
26.2,0.25031
26.3,0.261241
26.4,0.272028
26.5,0.282667
26.6,0.293155
26.7,0.303488
26.8,0.313662
26.9,0.323674
27,0.333521
27.1,0.343199
27.2,0.352705
27.3,0.362035
27.4,0.371187
27.5,0.380157
27.6,0.388944
27.7,0.397543
27.8,0.405952
27.9,0.414168
28,0.422189
28.1,0.430012
28.2,0.437636
28.3,0.445056
28.4,0.452272
28.5,0.459281
28.6,0.466081
28.7,0.472671
28.8,0.479047
28.9,0.485209
29,0.491154
29.1,0.496882
29.2,0.50239
29.3,0.507678
29.4,0.512743
29.5,0.517586
29.6,0.522203
29.7,0.526595
29.8,0.530761
29.9,0.534699
30,0.53841
30.1,0.541891
30.2,0.545144
30.3,0.548166
30.4,0.550959
30.5,0.553521
30.6,0.555852
30.7,0.557953
30.8,0.559822
30.9,0.561462
31,0.56287
31.1,0.564049
31.2,0.564997
31.3,0.565717
31.4,0.566207
31.5,0.566469
31.6,0.566504
31.7,0.566312
31.8,0.565894
31.9,0.565251
32,0.564384
32.1,0.563295
32.2,0.561984
32.3,0.560453
32.4,0.558704
32.5,0.556737
32.6,0.554555
32.7,0.552159
32.8,0.549551
32.9,0.546732
33,0.543704
33.1,0.54047
33.2,0.537032
33.3,0.533391
33.4,0.52955
33.5,0.525511
33.6,0.521276
33.7,0.516848
33.8,0.512229
33.9,0.507421
34,0.502429
34.1,0.497253
34.2,0.491897
34.3,0.486363
34.4,0.480655
34.5,0.474775
34.6,0.468726
34.7,0.462512
34.8,0.456135
34.9,0.449598
35,0.442906
35.1,0.43606
35.2,0.429064
35.3,0.421922
35.4,0.414637
35.5,0.407212
35.6,0.399651
35.7,0.391957
35.8,0.384135
35.9,0.376187
36,0.368117
36.1,0.359928
36.2,0.351626
36.3,0.343212
36.4,0.334692
36.5,0.326068
36.6,0.317345
36.7,0.308526
36.8,0.299616
36.9,0.290618
37,0.281536
37.1,0.272374
37.2,0.263137
37.3,0.253827
37.4,0.244449
37.5,0.235007
37.6,0.225506
37.7,0.215948
37.8,0.206338
37.9,0.19668
38,0.186979
38.1,0.177237
38.2,0.16746
38.3,0.157651
38.4,0.147814
38.5,0.137953
38.6,0.128073
38.7,0.118177
38.8,0.10827
38.9,0.0983544
39,0.0884356
39.1,0.0785171
39.2,0.0686029
39.3,0.0586969
39.4,0.0488032
39.5,0.0389255
39.6,0.0290678
39.7,0.019234
39.8,0.00942787
39.9,-0.000346714
40,-0.010086
40.1,-0.0197861
40.2,-0.0294435
40.3,-0.0390542
40.4,-0.0486148
40.5,-0.0581215
40.6,-0.0675707
40.7,-0.0769589
40.8,-0.0862825
40.9,-0.095538
41,-0.104722
41.1,-0.113831
41.2,-0.122862
41.3,-0.131811
41.4,-0.140675
41.5,-0.149451
41.6,-0.158135
41.7,-0.166725
41.8,-0.175218
41.9,-0.18361
42,-0.191898
42.1,-0.200079
42.2,-0.208151
42.3,-0.216111
42.4,-0.223956
42.5,-0.231682
42.6,-0.239289
42.7,-0.246772
42.8,-0.25413
42.9,-0.261359
43,-0.268458
43.1,-0.275424
43.2,-0.282254
43.3,-0.288947
43.4,-0.295501
43.5,-0.301913
43.6,-0.308181
43.7,-0.314303
43.8,-0.320277
43.9,-0.326101
44,-0.331775
44.1,-0.337295
44.2,-0.34266
44.3,-0.347869
44.4,-0.35292
44.5,-0.357812
44.6,-0.362543
44.7,-0.367112
44.8,-0.371517
44.9,-0.375758
45,-0.379834
45.1,-0.383743
45.2,-0.387484
45.3,-0.391057
45.4,-0.394461
45.5,-0.397694
45.6,-0.400757
45.7,-0.403649
45.8,-0.406368
45.9,-0.408916
46,-0.41129
46.1,-0.413492
46.2,-0.41552
46.3,-0.417375
46.4,-0.419056
46.5,-0.420563
46.6,-0.421897
46.7,-0.423057
46.8,-0.424044
46.9,-0.424858
47,-0.425498
47.1,-0.425967
47.2,-0.426263
47.3,-0.426388
47.4,-0.426341
47.5,-0.426124
47.6,-0.425738
47.7,-0.425183
47.8,-0.424459
47.9,-0.423569
48,-0.422512
48.1,-0.42129
48.2,-0.419904
48.3,-0.418355
48.4,-0.416644
48.5,-0.414772
48.6,-0.412742
48.7,-0.410553
48.8,-0.408209
48.9,-0.405709
49,-0.403056
49.1,-0.400252
49.2,-0.397297
49.3,-0.394195
49.4,-0.390945
49.5,-0.387552
49.6,-0.384015
49.7,-0.380337
49.8,-0.376521
49.9,-0.372567
50,-0.368479
50.1,-0.364258
50.2,-0.359907
50.3,-0.355427
50.4,-0.350821
50.5,-0.346092
50.6,-0.341241
50.7,-0.336271
50.8,-0.331185
50.9,-0.325984
51,-0.320672
51.1,-0.31525
51.2,-0.309722
51.3,-0.30409
51.4,-0.298357
51.5,-0.292525
51.6,-0.286596
51.7,-0.280575
51.8,-0.274463
51.9,-0.268263
52,-0.261978
52.1,-0.255612
52.2,-0.249165
52.3,-0.242643
52.4,-0.236046
52.5,-0.229379
52.6,-0.222645
52.7,-0.215845
52.8,-0.208984
52.9,-0.202063
53,-0.195087
53.1,-0.188058
53.2,-0.180979
53.3,-0.173853
53.4,-0.166683
53.5,-0.159473
53.6,-0.152224
53.7,-0.144941
53.8,-0.137626
53.9,-0.130282
54,-0.122913
54.1,-0.115521
54.2,-0.108109
54.3,-0.100681
54.4,-0.0932388
54.5,-0.0857865
54.6,-0.0783268
54.7,-0.0708625
54.8,-0.0633968
54.9,-0.0559326
55,-0.0484729
55.1,-0.0410207
55.2,-0.0335789
55.3,-0.0261504
55.4,-0.0187382
55.5,-0.0113452
55.6,-0.00397434
55.7,0.00337163
55.8,0.0106898
55.9,0.0179773
56,0.0252315
56.1,0.0324494
56.2,0.0396283
56.3,0.0467656
56.4,0.0538584
56.5,0.0609042
56.6,0.0679003
56.7,0.074844
56.8,0.0817327
56.9,0.088564
57,0.0953353
57.1,0.102044
57.2,0.108688
57.3,0.115264
57.4,0.121771
57.5,0.128205
57.6,0.134565
57.7,0.140849
57.8,0.147053
57.9,0.153176
58,0.159216
58.1,0.16517
58.2,0.171037
58.3,0.176815
58.4,0.182501
58.5,0.188093
58.6,0.19359
58.7,0.19899
58.8,0.204291
58.9,0.209491
59,0.214588
59.1,0.219581
59.2,0.224469
59.3,0.229249
59.4,0.23392
59.5,0.238481
59.6,0.24293
59.7,0.247266
59.8,0.251487
59.9,0.255593
60,0.259581
60.1,0.263451
60.2,0.267202
60.3,0.270833
60.4,0.274342
60.5,0.277729
60.6,0.280992
60.7,0.284132
60.8,0.287146
60.9,0.290035
61,0.292797
61.1,0.295432
61.2,0.29794
61.3,0.300319
61.4,0.30257
61.5,0.304692
61.6,0.306684
61.7,0.308546
61.8,0.310278
61.9,0.31188
62,0.313351
62.1,0.314691
62.2,0.315901
62.3,0.31698
62.4,0.317929
62.5,0.318747
62.6,0.319434
62.7,0.319991
62.8,0.320419
62.9,0.320716
63,0.320884
63.1,0.320923
63.2,0.320834
63.3,0.320617
63.4,0.320272
63.5,0.3198
63.6,0.319202
63.7,0.318479
63.8,0.317631
63.9,0.316658
64,0.315563
64.1,0.314345
64.2,0.313006
64.3,0.311547
64.4,0.309968
64.5,0.308271
64.6,0.306457
64.7,0.304527
64.8,0.302481
64.9,0.300323
65,0.298051
65.1,0.295669
65.2,0.293177
65.3,0.290577
65.4,0.28787
65.5,0.285058
65.6,0.282141
65.7,0.279122
65.8,0.276003
65.9,0.272784
66,0.269468
66.1,0.266056
66.2,0.26255
66.3,0.258951
66.4,0.255262
66.5,0.251484
66.6,0.247619
66.7,0.243669
66.8,0.239635
66.9,0.235521
67,0.231326
67.1,0.227055
67.2,0.222708
67.3,0.218287
67.4,0.213795
67.5,0.209234
67.6,0.204606
67.7,0.199912
67.8,0.195155
67.9,0.190338
68,0.185461
68.1,0.180528
68.2,0.175541
68.3,0.170501
68.4,0.165411
68.5,0.160273
68.6,0.15509
68.7,0.149863
68.8,0.144595
68.9,0.139289
69,0.133945
69.1,0.128568
69.2,0.123158
69.3,0.117719
69.4,0.112252
69.5,0.106759
69.6,0.101244
69.7,0.0957085
69.8,0.0901543
69.9,0.0845841
70,0.0790001
70.1,0.0734046
70.2,0.0677999
70.3,0.0621882
70.4,0.0565719
70.5,0.0509531
70.6,0.0453342
70.7,0.0397174
70.8,0.034105
70.9,0.028499
71,0.0229019
71.1,0.0173158
71.2,0.0117428
71.3,0.00618525
71.4,0.000645195
71.5,-0.00487517
71.6,-0.0103737
71.7,-0.0158483
71.8,-0.0212969
71.9,-0.0267173
72,-0.0321075
72.1,-0.0374655
72.2,-0.0427892
72.3,-0.0480766
72.4,-0.0533257
72.5,-0.0585347
72.6,-0.0637014
72.7,-0.0688241
72.8,-0.0739008
72.9,-0.0789297
73,-0.0839088
73.1,-0.0888366
73.2,-0.093711
73.3,-0.0985304
73.4,-0.103293
73.5,-0.107997
73.6,-0.112641
73.7,-0.117223
73.8,-0.121742
73.9,-0.126196
74,-0.130584
74.1,-0.134903
74.2,-0.139153
74.3,-0.143332
74.4,-0.147438
74.5,-0.151471
74.6,-0.155429
74.7,-0.15931
74.8,-0.163114
74.9,-0.166838
75,-0.170483
75.1,-0.174046
75.2,-0.177526
75.3,-0.180924
75.4,-0.184236
75.5,-0.187463
75.6,-0.190603
75.7,-0.193656
75.8,-0.196621
75.9,-0.199496
76,-0.20228
76.1,-0.204974
76.2,-0.207577
76.3,-0.210086
76.4,-0.212503
76.5,-0.214826
76.6,-0.217055
76.7,-0.219189
76.8,-0.221228
76.9,-0.22317
77,-0.225017
77.1,-0.226767
77.2,-0.22842
77.3,-0.229975
77.4,-0.231433
77.5,-0.232793
77.6,-0.234055
77.7,-0.235219
77.8,-0.236285
77.9,-0.237252
78,-0.238121
78.1,-0.238891
78.2,-0.239564
78.3,-0.240138
78.4,-0.240613
